roomPerimeter,transError.numSamples.std
824.277775057,1692.08022859
909.128599512,3411.5
883.283838598,2886.681652
602.61103687,2356.0
651.012500721,168.5
1075.51367261,0.0
537.162909983,1162.0
343.406315926,2768.629117
655.096395443,332796.5
864.15979835,1162326.40025
470.629120514,0.0
551.429068269,4484.43361963
837.315270419,0.0
846.661098224,4596.02468323
865.683726415,6269.0
349.485622363,4659.5
900.193877884,23467.5
688.861804167,0.0
533.159488544,2134.0
1023.76949412,0.0
501.062394277,3793.5
1357.05101607,25849.7467299
1113.23214774,27505.3824798
789.405453777,164604.661684
345.129490021,0.0
349.626511091,116037.005748
506.227250231,15605.2559274
623.087494685,231363.029035
498.214112703,8298.5
551.960813093,59179.5
636.640571297,0.0
787.160481335,358042.389847
1173.67459887,489724.0
623.395444333,0.0
1588.62791478,274071.0
1208.95867135,0.0
1483.77049838,56789.5485037

5-Fold RMSE:,150875.233223,118204.412524,417801.692502,96921.2554589,96921.2554589
Average 5-Fold RMSE:,182813.153162

5-Fold rsquared:,-2.03137611815,-0.0707554618845,-0.122995571464,0.0673040190999,0.0673040190999
Average 5-Fold rsquared:,-0.388461459707
