avgRoomArea,transError.numSamples.std
1770.82512649,1692.08022859
1693.17206751,3411.5
16879.3303371,2886.681652
2060.46065176,2356.0
654.353986368,168.5
2100.80696472,0.0
42.0407507992,1162.0
159.178043584,2768.629117
2951.87623731,332796.5
6566.39327632,1162326.40025
117.729480802,0.0
202.653527556,4484.43361963
37.5123784326,0.0
7841.40851591,4596.02468323
17362.1361915,6269.0
151.362690548,4659.5
5620.85672307,23467.5
1963.40434773,0.0
114.824991211,2134.0
1997.3848037,0.0
34.881097464,3793.5
5426.47434551,25849.7467299
2722.63884182,27505.3824798
1733.7689016,164604.661684
1048.19797,0.0
159.188760688,116037.005748
301.946595142,15605.2559274
99.3657311669,231363.029035
35.6467956188,8298.5
1289.36416825,59179.5
1209.03521613,0.0
363.343164941,358042.389847
943.370778453,489724.0
5552.49887159,0.0
7977.65771283,274071.0
469.164697244,0.0
49524.5924242,56789.5485037

5-Fold RMSE:,390180.438599,328550.548709,111726.437115,129456.007358,129456.007358
Average 5-Fold RMSE:,219292.11474

5-Fold rsquared:,-0.841072737768,-0.260175374909,-0.101664004794,-0.156559928042,-0.156559928042
Average 5-Fold rsquared:,-0.351612761513
