topology_std_betweenness_centrality,rotError.numSamples.mean
0.157060934161,8627.0
0.124401224416,15695.5
0.219441665803,6140.2
0.187756497808,4242.0
0.154019596736,6332.5
0.15294041887,6329.0
0.141627662593,5863.0
0.216662018134,6086.75
0.212474501198,357218.5
0.179116363595,830942.333333
0.16600218961,36389.0
0.170907443183,15490.3333333
0.132183205558,13796.0
0.206867780433,12714.3333333
0.224004288455,7331.0
0.196185373283,7723.5
0.158996914607,25949.5
0.20325722398,22338.0
0.124375787197,24431.0
0.146143564105,59670.0
0.116264239203,13573.5
0.16435750178,22022.0
0.153122424652,32607.8
0.471404520791,437301.0
0.242817084083,151082.0
0.216313212501,114100.666667
0.183840968349,35666.8
0.148639864971,122499.666667
0.119075163898,19129.5
0.220853420272,110106.5
0.190652239415,1804313.0
0.119381307136,225133.0
0.147003696536,531998.0
0.234536156628,242087.0
0.131812264312,311884.0
0.0895510295476,65744.0
0.19657591917,57460.5

5-Fold RMSE:,259059.225295,190739.221199,181662.79071,136809.491375,136809.491375
Average 5-Fold RMSE:,287803.373557

5-Fold rsquared:,-0.116441302912,-0.792796081891,-0.0432568255836,0.447316318476,0.447316318476
Average 5-Fold rsquared:,-0.179094026856
