voronoi_edges,transError.numSamples.std
253,1692.08022859
235,3411.5
255,2886.681652
170,2356.0
246,168.5
232,0.0
303,1162.0
147,2768.629117
128,332796.5
263,1162326.40025
337,0.0
253,4484.43361963
651,0.0
166,4596.02468323
24,6269.0
159,4659.5
195,23467.5
305,0.0
295,2134.0
287,0.0
229,3793.5
279,25849.7467299
315,27505.3824798
297,164604.661684
112,0.0
155,116037.005748
257,15605.2559274
449,231363.029035
285,8298.5
321,59179.5
193,0.0
320,358042.389847
437,489724.0
104,0.0
264,274071.0
562,0.0
189,56789.5485037

5-Fold RMSE:,108005.511028,390151.145989,136728.841192,78199.1392099,78199.1392099
Average 5-Fold RMSE:,181163.165912

5-Fold rsquared:,-0.182229457048,-0.248466911962,-0.11276719835,-23.0203939965,-23.0203939965
Average 5-Fold rsquared:,-5.0278737189
