topology_density,transError.numSamples.mean
0.0827586206897,8627.0
0.070564516129,15695.5
0.111111111111,6140.2
0.0905797101449,4242.0
0.0804597701149,6332.5
0.0585585585586,6329.0
0.0505319148936,5863.0
0.105263157895,6086.75
0.109523809524,357218.5
0.0866666666667,830942.333333
0.0659536541889,36389.0
0.0621848739496,15490.3333333
0.090756302521,13796.0
0.105263157895,12714.3333333
0.105263157895,7331.0
0.122807017544,7723.5
0.0978260869565,25949.5
0.0942028985507,22338.0
0.0773109243697,24431.0
0.0655462184874,59670.0
0.0582793709528,13573.5
0.0689655172414,22022.0
0.0641025641026,32607.8
0.666666666667,437301.0
0.133333333333,151082.0
0.1,114100.666667
0.0984615384615,35666.8
0.0542635658915,122499.666667
0.0619796484736,19129.5
0.0909090909091,110106.5
0.0826210826211,1804313.0
0.0592334494774,225133.0
0.0550724637681,531998.0
0.117647058824,242087.0
0.0585365853659,311884.0
0.0460829493088,65744.0
0.08,57460.5

5-Fold RMSE:,133752.560979,143623.18015,671232.55306,130762.218136,130762.218136
Average 5-Fold RMSE:,271871.074545

5-Fold rsquared:,-0.152542565005,-0.219437861598,0.00621867012227,-1.77300813498,-1.77300813498
Average 5-Fold rsquared:,-0.747963985731
