topology_density,rotError.numSamples.std
0.0827586206897,1692.08022859
0.070564516129,3411.5
0.111111111111,2886.681652
0.0905797101449,2356.0
0.0804597701149,168.5
0.0585585585586,0.0
0.0505319148936,1162.0
0.105263157895,2768.629117
0.109523809524,332796.5
0.0866666666667,1162326.40025
0.0659536541889,0.0
0.0621848739496,4484.43361963
0.090756302521,0.0
0.105263157895,4596.02468323
0.105263157895,6269.0
0.122807017544,4659.5
0.0978260869565,23467.5
0.0942028985507,0.0
0.0773109243697,2134.0
0.0655462184874,0.0
0.0582793709528,3793.5
0.0689655172414,25849.7467299
0.0641025641026,27505.3824798
0.666666666667,164604.661684
0.133333333333,0.0
0.1,116037.005748
0.0984615384615,15605.2559274
0.0542635658915,231363.029035
0.0619796484736,8298.5
0.0909090909091,59179.5
0.0826210826211,0.0
0.0592334494774,358042.389847
0.0550724637681,489724.0
0.117647058824,0.0
0.0585365853659,274071.0
0.0460829493088,0.0
0.08,56789.5485037

5-Fold RMSE:,390736.898873,145670.996249,106489.681874,84221.8996947,84221.8996947
Average 5-Fold RMSE:,201555.870735

5-Fold rsquared:,-0.566846830233,0.00324822189851,-19.279141795,-135.616157897,-135.616157897
Average 5-Fold rsquared:,-31.1717327938
