avg_katz_centrality,rotError.numSamples.std
0.00183164127162,5234.2224285
0.000837312826764,1068.57195671
0.00394092941488,257.853455343
0.00145841446799,141.850142792
0.0146319223525,182.929460449
0.0107227141849,3510.04999446
0.00212796668099,3935.77212331
0.000985497287792,4927.43898941
0.00675703959429,363.803157271
0.00394697265736,147.306005198
0.00313283454443,2626.374729
0.00463081790692,108.084781537
0.014956869664,1084.0791156
0.00721128299575,183.153742003
0.00749939520562,273.731419461
0.0099007638193,642.991734482
0.00567615536378,736.775631788
0.00522130790338,1510.28589149
0.00425521588337,14727.7449601
0.021034321157,2308.33572565
0.00237931914125,9784.61316845
0.00620759969978,8108.00744572
0.0136513798415,2866.01159506
0.00183923477374,25803.4507764
0.00819877290375,2219.38941949
0.0115555452936,8919.29941979
0.018545199377,1725.55951023
0.00263691501963,3228.66340734
0.00677245448604,308.046732032
0.005195100978,701.623265043
0.00473407332978,12253.024445
0.0125305043955,5103.87888822
0.000137398924846,12190.977691
0.000464141250352,10206.0904135
0.00349157537483,1947.88730019
0.00172767015839,4006.02426321
0.000428806088121,189.939449112
0.00507480131819,338.663728636
0.00414675006167,4015.83521781
0.0118453240216,968.189122803
0.00305737359108,5532.41528027
0.00165416922011,1328.17120275
0.00368457372095,4913.35122961
0.00813047107868,897.213776087
0.00470260844059,12782.2996962
0.00337661950533,15884.6134701
0.00454144763295,3217.32940007
0.00687453878969,4350.15152402
0.00612971140873,1687.4634671
0.00267346179467,2927.87105563
0.00264952251783,383.599850828
0.00304978048946,379.749169978
0.00683271156337,1917.94562562
0.00269504009836,2174.75877982
0.0132370052728,1102.42140417
0.00593057110261,2925.49410622
0.00819487385135,3355.85891523
0.00445588535513,490.102011085
0.00310224192568,175.644666554
0.00668719690136,473.088895362
0.061080293104,617.028443908
0.0106672029474,1136.24840985
0.00276541182543,4289.42952164
0.00822004045619,803.781894131
0.000254586441506,1881.63948857
0.00175031397817,316.936671506
0.00249469745735,2151.72678867
0.00541741932639,6754.77336762
0.00457633157256,350.849437575
0.00330166049308,3895.98161441
0.00770788343339,9293.22106863
0.00232036210858,257.78020405
9.65147538731e-05,1433.91482635
0.00195573996648,4998.19879432
