numBifurcationPoints,rotError.numSamples.mean
131,5859.7826087
162,2208.2
88,533.736842105
28,281.035714286
44,375.75
93,3820.06451613
197,4729.04166667
146,3357.30434783
85,1109.95652174
52,244.540540541
48,830.8
39,180.0
38,450.733333333
52,457.388888889
41,628.1
32,954.971428571
114,1007.54166667
145,2059.76470588
119,8900.875
68,2142.7826087
195,6283.62068966
107,5881.21428571
98,3028.03571429
126,13942.1666667
66,2496.67647059
58,8121.34782609
41,2459.1
125,3998.88235294
107,716.857142857
145,843.47826087
141,3702.36363636
92,6648.12
268,4365.44444444
214,4280.06666667
145,1701.35294118
178,3879.09375
36,189.695652174
104,508.4375
117,2765.85185185
49,1206.76923077
160,6532.5
159,3173.27272727
62,2456.83333333
102,2281.8
137,6061.31034483
155,8307.2
94,2598.6
135,3927.24390244
84,1492.89285714
144,3814.28571429
67,655.766666667
90,612.888888889
71,1611.27777778
126,3842.36
81,1384.0
134,3280.36666667
82,2484.47619048
94,1119.77419355
80,591.466666667
74,510.341463415
13,1281.76923077
58,1420.46666667
123,4234.0625
65,754.666666667
121,3208.20833333
60,407.793103448
111,2487.5
148,3492.45454545
101,609.074074074
228,4201.78571429
93,2976.25
119,461.08
112,1971.81578947
324,8002.75
