totalLength,transError.mean.mean
3674.54685049,0.507673043478
2587.25446388,0.347489733333
409.860183458,0.178033842105
252.832909534,0.111519571429
326.784256607,0.135674892857
1921.35516902,0.567853258065
2116.13492361,0.483538
863.659269329,0.364766782609
845.090021745,0.266804521739
295.419139725,0.136014027027
506.321896435,0.1602634
273.457946693,0.11330008
192.066214539,0.120517266667
468.518403292,0.168592444444
580.535894357,0.1753349
971.378772283,0.250973828571
1560.66008532,0.267063583333
1049.93660782,0.275744352941
3024.90660293,0.572332
1742.8522031,0.401876478261
3575.26025392,0.554770068966
4286.82971454,0.601016714286
711.361982324,0.428635214286
4268.08811365,0.545607833333
2215.28095863,0.392818764706
2674.03601278,0.511895521739
889.381270016,0.3828526
994.439580994,0.480142294118
566.001197687,0.200632047619
713.219408102,0.214672086957
1004.70151857,0.310588818182
2298.96506651,0.63580396
1290.05514031,0.357241074074
1093.26611061,0.322165133333
1073.65959346,0.302912058824
2379.8461839,0.44758759375
207.214315708,0.0879599565217
771.205630617,0.20017225
1344.58232881,0.388622
876.168728003,0.297397730769
3949.82841384,0.663971375
1857.94252615,0.551063954545
888.639718829,0.31300125
1481.43084603,0.4318884
2298.11261206,0.465919793103
2193.73950998,0.471419
786.593346386,0.317696542857
2003.81513074,0.366169390244
637.726898906,0.301987178571
3079.17730674,0.400407571429
500.537324732,0.2053401
616.55068905,0.194334555556
1035.09066139,0.273704222222
2396.14078511,0.42013416
577.123513651,0.323464547619
1415.71363081,0.429869033333
1392.02208715,0.367336428571
972.933103525,0.283932129032
489.59582335,0.224394466667
382.17641299,0.191225219512
1749.99175816,0.285115615385
916.588301973,0.3031
2114.07410152,0.475740875
891.481124196,0.236201074074
2342.27101469,0.54542925
330.137152444,0.154262137931
1479.91948991,0.423788730769
1173.44602032,0.381827136364
602.963843177,0.189719777778
3519.11086095,0.489469857143
1016.39541288,0.29107
693.217716208,0.17891308
2034.8306002,0.367190842105
2694.36835452,0.55025675
