voronoi_radius,transError.mean.mean
27,0.616674277778
29,0.513207166667
14,0.511799
18,0.347489733333
15,0.178033842105
6,0.111519571429
11,0.135674892857
19,0.567853258065
20,0.483538
19,0.364766782609
20,0.266804521739
16,0.136014027027
14,0.1602634
10,0.11330008
10,0.120517266667
13,0.168592444444
9,0.1753349
10,0.250973828571
20,0.255138206897
19,0.275744352941
21,0.572332
16,0.401876478261
40,0.667381558824
22,0.601016714286
11,0.428635214286
16,0.534300857143
9,0.392818764706
14,0.511895521739
12,0.3828526
23,0.480142294118
22,0.200632047619
19,0.214672086957
17,0.310588818182
18,0.63580396
23,0.357241074074
28,0.322165133333
21,0.302912058824
22,0.44758759375
8,0.0879599565217
17,0.224303125
18,0.388622
12,0.297397730769
20,0.663971375
26,0.551063954545
17,0.31300125
22,0.4318884
20,0.465919793103
20,0.471419
14,0.317696542857
20,0.366169390244
14,0.301987178571
16,0.381142583333
16,0.2053401
12,0.189486166667
17,0.273704222222
23,0.42013416
18,0.323464547619
16,0.429869033333
14,0.367336428571
23,0.283932129032
15,0.19405875
14,0.191225219512
4,0.285231925926
16,0.3031
19,0.475740875
14,0.236201074074
19,0.54542925
13,0.154262137931
18,0.423788730769
15,0.337108057143
18,0.189719777778
16,0.29107
20,0.17891308
15,0.367190842105

5-Fold RMSE:,0.135752676449,0.148303119742,0.123596363574,0.103428902474,0.103428902474
Average 5-Fold RMSE:,0.126165566549

5-Fold rsquared:,-0.0725016469754,0.0322089490821,-0.023062882655,0.623948759221,0.623948759221
Average 5-Fold rsquared:,0.124689088847
