totalTime,transError.std.std
7743.55652174,0.197657005465
5871.41333333,0.0888341978949
2281.97894737,0.0536568207547
1354.59642857,0.0531756045959
1659.58214286,0.0388866547706
5198.54516129,0.207135681695
5477.86666667,0.204774691356
3536.62173913,0.258492090208
2830.96086957,0.0429963941514
1745.23513514,0.0500640527086
2208.06285714,0.160692173355
1662.192,0.0364422115207
1609.00666667,0.115579807708
2145.56944444,0.0370592039719
2048.65333333,0.0491585794691
3052.23428571,0.0890782760547
3921.41666667,0.092571482715
3581.27058824,0.138087316178
7052.875,0.283472780901
4358.37826087,0.155756377989
9060.99310345,0.273444335576
9315.98928571,0.301796672041
3083.37857143,0.15137538147
10953.65,1.09223982879
5282.52058824,0.167680135625
6047.27826087,0.390698889866
3020.41666667,0.145785206544
3506.38235294,0.23374692862
2408.40952381,0.0547581142166
2618.1826087,0.0669920319093
3122.75454545,0.391347667119
5479.196,0.258741211908
4442.33333333,0.35561401166
3697.00666667,0.382246016935
3580.12352941,0.155138806672
5922.8125,0.177945288381
1650.44782609,0.0530782981644
3048.48125,0.0549553057413
3913.77777778,0.21615872905
2507.84230769,0.0819226964463
8273.10833333,0.293317732168
5024.57727273,0.127652611947
2868.95833333,0.221674636893
5079.84,0.0853392946102
5964.87241379,0.357301613152
5847.58333333,0.453233740742
2814.78857143,0.179230997901
5177.86829268,0.236587447923
2649.53928571,0.110170635227
7299.80714286,0.188751485919
2228.52666667,0.0621497895481
2415.84444444,0.0834510200204
3423.01111111,0.126944549297
6119.592,0.109794391941
2439.62142857,0.107098494917
4293.42333333,0.151433371273
3703.52857143,0.185990376251
3426.39032258,0.064450068138
2134.64666667,0.0378693543451
1896.65609756,0.075847820682
4176.48846154,0.117333490955
2596.04,0.129796983767
5151.05,0.239664370415
2637.14444444,0.105334107197
5440.36666667,0.149483092715
1954.06206897,0.0596299714663
4110.29615385,0.141523549212
3868.05454545,0.294155507688
2386.22592593,0.0743403423368
7405.83571429,0.198682666526
2968.16428571,0.355724934863
2600.284,0.0562958637779
5058.65263158,0.116143743091
7124.93333333,0.177137692319
