numBifurcationPoints,transError.std.std
131,0.197657005465
162,0.0888341978949
88,0.0536568207547
28,0.0531756045959
44,0.0388866547706
93,0.207135681695
197,0.204774691356
146,0.258492090208
85,0.0429963941514
52,0.0500640527086
48,0.160692173355
39,0.0364422115207
38,0.115579807708
52,0.0370592039719
41,0.0491585794691
32,0.0890782760547
114,0.092571482715
145,0.138087316178
119,0.283472780901
68,0.155756377989
195,0.273444335576
107,0.301796672041
98,0.15137538147
126,1.09223982879
66,0.167680135625
58,0.390698889866
41,0.145785206544
125,0.23374692862
107,0.0547581142166
145,0.0669920319093
141,0.391347667119
92,0.258741211908
268,0.35561401166
214,0.382246016935
145,0.155138806672
178,0.177945288381
36,0.0530782981644
104,0.0549553057413
117,0.21615872905
49,0.0819226964463
160,0.293317732168
159,0.127652611947
62,0.221674636893
102,0.0853392946102
137,0.357301613152
155,0.453233740742
94,0.179230997901
135,0.236587447923
84,0.110170635227
144,0.188751485919
67,0.0621497895481
90,0.0834510200204
71,0.126944549297
126,0.109794391941
81,0.107098494917
134,0.151433371273
82,0.185990376251
94,0.064450068138
80,0.0378693543451
74,0.075847820682
13,0.117333490955
58,0.129796983767
123,0.239664370415
65,0.105334107197
121,0.149483092715
60,0.0596299714663
111,0.141523549212
148,0.294155507688
101,0.0743403423368
228,0.198682666526
93,0.355724934863
119,0.0562958637779
112,0.116143743091
324,0.177137692319
