perimeter,rotError.numSamples.std
919.385854688,5234.2224285
845.094809668,1068.57195671
400.830204991,257.853455343
104.798400009,141.850142792
297.255462487,182.929460449
175.184877189,3510.04999446
975.710287307,3935.77212331
661.864870045,4927.43898941
461.959330453,363.803157271
301.700928702,147.306005198
395.362041332,2626.374729
266.76921056,108.084781537
190.183623926,1084.0791156
384.28900186,183.153742003
169.305586218,273.731419461
547.895428741,642.991734482
663.883925852,736.775631788
569.465956684,1510.28589149
277.253593842,14727.7449601
186.385475943,2308.33572565
266.853191731,9784.61316845
251.520417083,8108.00744572
217.978099666,2866.01159506
413.568733758,25803.4507764
161.46910584,2219.38941949
333.320883456,8919.29941979
348.726342602,1725.55951023
582.414195881,3228.66340734
416.287346717,308.046732032
602.450956601,701.623265043
625.529006956,12253.024445
1411.67024864,5103.87888822
687.006424965,12190.977691
804.802666284,10206.0904135
325.157616123,1947.88730019
394.105092531,4006.02426321
254.907573617,189.939449112
512.058047582,338.663728636
574.390274931,4015.83521781
577.749460923,968.189122803
462.202334131,5532.41528027
542.151199633,1328.17120275
607.353417602,4913.35122961
895.078361009,897.213776087
810.652971073,12782.2996962
791.247099826,15884.6134701
523.504495381,3217.32940007
642.501394841,4350.15152402
438.695516966,1687.4634671
921.061208435,2927.87105563
425.51985706,383.599850828
383.553654629,379.749169978
611.004216827,1917.94562562
1094.05395026,2174.75877982
396.724658884,1102.42140417
623.982104305,2925.49410622
673.355919531,3355.85891523
614.642509546,490.102011085
383.053807066,175.644666554
377.554649486,473.088895362
798.372831181,617.028443908
541.589338691,1136.24840985
479.641424654,4289.42952164
562.534496366,803.781894131
398.050280897,1881.63948857
346.945664463,316.936671506
629.847164937,2151.72678867
243.197749682,6754.77336762
431.988152916,350.849437575
476.307895935,3895.98161441
609.954365264,9293.22106863
446.124179764,257.78020405
1033.37498647,1433.91482635
383.710764507,4998.19879432
