roomPerimeter,transError.mean.std
837.315270419,0.187622165382
747.238694267,0.117509395197
1588.62791478,0.150879627982
1351.09384402,0.0626106276575
458.622966465,0.0363222141704
125.926169628,0.0240230927776
302.601396954,0.0231752964896
501.062394277,0.244942705536
1837.42341771,0.118403445404
688.861804167,0.25684750383
662.793955846,0.0468835943002
345.129490021,0.0525575836354
456.293929549,0.0652650350355
315.925559425,0.0380406378831
243.357074819,0.048698079138
409.663330218,0.0471928668924
203.831915727,0.015699391456
608.510749633,0.0795487657361
811.724322072,0.0609893108178
789.405453777,0.0634488000674
498.214112703,0.157331633444
349.485622363,0.225853461955
623.087494685,0.335983825039
506.227250231,0.192289958812
469.640967896,0.0925116985357
470.629120514,0.173005460782
343.406315926,0.150862439925
349.626511091,0.113382526137
503.178792264,0.0940625752148
824.277775057,0.228409668405
481.48305766,0.0484971177734
859.077312371,0.0700468458533
1023.76949412,0.287812908678
1483.77049838,0.109859637786
1208.95867135,0.30823195051
1173.67459887,0.251954545215
537.162909983,0.158847840005
845.005713505,0.112238353718
279.62861162,0.0402882774962
780.915742482,0.0825251437691
909.128599512,0.1264444763
623.395444333,0.0703616797672
787.160481335,0.114763250904
551.960813093,0.0896356459078
655.096395443,0.185040710074
1086.4876646,0.14370205831
1357.05101607,0.281651273406
1113.23214774,0.217198105027
636.640571297,0.0868164172079
883.283838598,0.121972989288
638.505269241,0.0844506183324
1290.51989442,0.0812632064472
474.810346145,0.0478290808047
502.295701425,0.165411061738
687.882051882,0.063039235743
1293.11063322,0.0862053699096
602.61103687,0.123650418782
864.15979835,0.166220167829
846.661098224,0.205108169667
687.49670878,0.067525357097
454.8062828,0.0711609699581
406.40042891,0.0754858045801
865.683726415,0.0664587250454
580.17017166,0.06593977187
551.429068269,0.17018166168
620.854347876,0.060063217006
651.012500721,0.14039673261
367.406975129,0.0600886637503
1075.51367261,0.141798879212
533.159488544,0.259118831645
377.956377889,0.0554747715395
900.193877884,0.22720282762
496.333168951,0.0490437767207
1394.54206022,0.0852449136299

5-Fold RMSE:,0.0714858806905,0.0754956488958,0.0785545978291,0.0602078454352,0.0602078454352
Average 5-Fold RMSE:,0.0739225561112

5-Fold rsquared:,0.238841103176,-0.245720365043,0.214534515439,0.107179634956,0.107179634956
Average 5-Fold rsquared:,0.0588869910101
