totalLength,transError.std.std
2976.70696807,0.210038240515
3339.01465467,0.167837658831
3674.54685049,0.230568556601
2587.25446388,0.0888341978949
409.860183458,0.0536568207547
252.832909534,0.0531756045959
326.784256607,0.0388866547706
1921.35516902,0.207135681695
2116.13492361,0.204774691356
863.659269329,0.258492090208
845.090021745,0.0429963941514
295.419139725,0.0500640527086
506.321896435,0.160692173355
273.457946693,0.0364422115207
192.066214539,0.115579807708
468.518403292,0.0370592039719
580.535894357,0.0491585794691
971.378772283,0.0890782760547
1454.17383526,0.0933187599678
1049.93660782,0.138087316178
3024.90660293,0.283472780901
1742.8522031,0.155756377989
3579.87872165,0.431148459783
4286.82971454,0.301796672041
711.361982324,0.15137538147
3980.86440872,1.02365065259
2215.28095863,0.167680135625
2674.03601278,0.390698889866
889.381270016,0.145785206544
994.439580994,0.23374692862
566.001197687,0.0547581142166
713.219408102,0.0669920319093
1004.70151857,0.391347667119
2298.96506651,0.258741211908
1290.05514031,0.35561401166
1093.26611061,0.382246016935
1073.65959346,0.155138806672
2379.8461839,0.177945288381
207.214315708,0.0530782981644
794.76649585,0.150426578073
1344.58232881,0.21615872905
876.168728003,0.0819226964463
3949.82841384,0.293317732168
1857.94252615,0.127652611947
888.639718829,0.221674636893
1481.43084603,0.0853392946102
2298.11261206,0.357301613152
2193.73950998,0.453233740742
786.593346386,0.179230997901
2003.81513074,0.236587447923
637.726898906,0.110170635227
3076.08125966,0.172007018126
500.537324732,0.0621497895481
494.390148456,0.171951321611
1035.09066139,0.126944549297
2396.14078511,0.109794391941
577.123513651,0.107098494917
1415.71363081,0.151433371273
1392.02208715,0.185990376251
972.933103525,0.064450068138
445.408495107,0.0692099506632
382.17641299,0.075847820682
1731.04519683,0.115451416633
916.588301973,0.129796983767
2114.07410152,0.239664370415
891.481124196,0.105334107197
2342.27101469,0.149483092715
330.137152444,0.0596299714663
1479.91948991,0.141523549212
1097.1417249,0.242795647909
602.963843177,0.0743403423368
1016.39541288,0.355724934863
693.217716208,0.0562958637779
2034.8306002,0.116143743091

5-Fold RMSE:,0.0822527932217,0.11126876151,0.217809681383,0.0978974585163,0.0978974585163
Average 5-Fold RMSE:,0.117497351504

5-Fold rsquared:,0.212277266412,-0.106974762268,0.28616286635,0.392165853662,0.392165853662
Average 5-Fold rsquared:,0.00291622862354
