voronoi_nodes,transError.mean.mean
640,0.616674277778
462,0.513207166667
256,0.511799
246,0.347489733333
175,0.178033842105
60,0.111519571429
93,0.135674892857
223,0.567853258065
395,0.483538
291,0.364766782609
163,0.266804521739
113,0.136014027027
105,0.1602634
81,0.11330008
81,0.120517266667
115,0.168592444444
85,0.1753349
70,0.250973828571
228,0.255138206897
289,0.275744352941
278,0.572332
156,0.401876478261
431,0.667381558824
244,0.601016714286
201,0.428635214286
337,0.534300857143
140,0.392818764706
154,0.511895521739
85,0.3828526
250,0.480142294118
221,0.200632047619
285,0.214672086957
283,0.310588818182
190,0.63580396
530,0.357241074074
427,0.322165133333
301,0.302912058824
350,0.44758759375
76,0.0879599565217
215,0.224303125
230,0.388622
105,0.297397730769
316,0.663971375
295,0.551063954545
129,0.31300125
211,0.4318884
278,0.465919793103
301,0.471419
189,0.317696542857
229,0.366169390244
174,0.301987178571
272,0.381142583333
143,0.2053401
183,0.189486166667
146,0.273704222222
263,0.42013416
170,0.323464547619
250,0.429869033333
159,0.367336428571
191,0.283932129032
172,0.19405875
166,0.191225219512
22,0.285231925926
124,0.3031
253,0.475740875
146,0.236201074074
243,0.54542925
126,0.154262137931
229,0.423788730769
281,0.337108057143
215,0.189719777778
194,0.29107
246,0.17891308
222,0.367190842105

5-Fold RMSE:,0.105413232903,0.126288042761,0.0773352082812,0.146013291022,0.146013291022
Average 5-Fold RMSE:,0.1200388913

5-Fold rsquared:,0.388900877392,0.384533255502,0.399133233139,-0.231733171393,-0.231733171393
Average 5-Fold rsquared:,0.201969812131
