numRooms,transError.numSamples.std
43,5234.2224285
27,1068.57195671
23,257.853455343
10,141.850142792
12,182.929460449
48,3510.04999446
47,3935.77212331
25,4927.43898941
22,363.803157271
15,147.306005198
17,2626.374729
15,108.084781537
16,1084.0791156
16,183.153742003
16,273.731419461
16,642.991734482
25,736.775631788
34,1510.28589149
50,14727.7449601
22,2308.33572565
45,9784.61316845
26,8108.00744572
29,2866.01159506
34,25803.4507764
20,2219.38941949
22,8919.29941979
20,1725.55951023
31,3228.66340734
39,308.046732032
38,701.623265043
35,12253.024445
25,5103.87888822
65,12190.977691
46,10206.0904135
49,1947.88730019
52,4006.02426321
13,189.939449112
40,338.663728636
33,4015.83521781
17,968.189122803
42,5532.41528027
23,1328.17120275
21,4913.35122961
46,897.213776087
35,12782.2996962
40,15884.6134701
27,3217.32940007
19,4350.15152402
17,1687.4634671
27,2927.87105563
21,383.599850828
20,379.749169978
23,1917.94562562
39,2174.75877982
24,1102.42140417
25,2925.49410622
20,3355.85891523
30,490.102011085
23,175.644666554
16,473.088895362
19,617.028443908
17,1136.24840985
35,4289.42952164
21,803.781894131
30,1881.63948857
16,316.936671506
37,2151.72678867
36,6754.77336762
16,350.849437575
44,3895.98161441
24,9293.22106863
19,257.78020405
31,1433.91482635
79,4998.19879432
