voronoi_nodes,rotError.mean.mean
640,0.0160152777778
462,0.0361834583333
256,0.0081227826087
246,0.00518106666667
175,0.00745268421053
60,0.00380332142857
93,0.00530514285714
223,0.0113298387097
395,0.0100377916667
291,0.00991973913043
163,0.00654347826087
113,0.00574740540541
105,0.0063216
81,0.00609472
81,0.00695146666667
115,0.00522869444444
85,0.00419643333333
70,0.00586774285714
228,0.0080334137931
289,0.00957582352941
278,0.0118060833333
156,0.00680830434783
431,0.0128010294118
244,0.0102644642857
201,0.0246713571429
337,0.007418
140,0.00877191176471
154,0.00719391304348
85,0.0116620333333
250,0.0221704705882
221,0.00773861904762
285,0.0076692173913
283,0.0124832272727
190,0.0090522
530,0.0147335925926
427,0.0128114
301,0.0131788235294
350,0.0105658125
76,0.00586613043478
215,0.0116517083333
230,0.010821
105,0.00736969230769
316,0.012007125
295,0.00962695454545
129,0.0105803333333
211,0.0089074
278,0.0112168965517
301,0.0137696
189,0.0132841714286
229,0.0079603902439
174,0.0102650357143
272,0.0086655
143,0.0111931666667
183,0.00875566666667
146,0.00787177777778
263,0.0083908
170,0.0134036428571
250,0.0111335666667
159,0.00665304761905
191,0.0100887741935
172,0.0114415
166,0.0108286829268
22,0.00525488888889
124,0.0074369
253,0.01176809375
146,0.00650085185185
243,0.0117556666667
126,0.00662575862069
229,0.0114198846154
281,0.00779974285714
215,0.00717885185185
194,0.00862746428571
246,0.00584372
222,0.0060295

5-Fold RMSE:,0.0017477523387,0.0073266644143,0.00393189512734,0.00263664106276,0.00263664106276
Average 5-Fold RMSE:,0.00365723536236

5-Fold rsquared:,0.368364241815,0.236789925218,0.313220548668,0.113320327206,0.113320327206
Average 5-Fold rsquared:,0.148769147709
