totalLength,transError.numSamples.std
3674.54685049,5234.2224285
2587.25446388,1068.57195671
409.860183458,257.853455343
252.832909534,141.850142792
326.784256607,182.929460449
1921.35516902,3510.04999446
2116.13492361,3935.77212331
863.659269329,4927.43898941
845.090021745,363.803157271
295.419139725,147.306005198
506.321896435,2626.374729
273.457946693,108.084781537
192.066214539,1084.0791156
468.518403292,183.153742003
580.535894357,273.731419461
971.378772283,642.991734482
1560.66008532,736.775631788
1049.93660782,1510.28589149
3024.90660293,14727.7449601
1742.8522031,2308.33572565
3575.26025392,9784.61316845
4286.82971454,8108.00744572
711.361982324,2866.01159506
4268.08811365,25803.4507764
2215.28095863,2219.38941949
2674.03601278,8919.29941979
889.381270016,1725.55951023
994.439580994,3228.66340734
566.001197687,308.046732032
713.219408102,701.623265043
1004.70151857,12253.024445
2298.96506651,5103.87888822
1290.05514031,12190.977691
1093.26611061,10206.0904135
1073.65959346,1947.88730019
2379.8461839,4006.02426321
207.214315708,189.939449112
771.205630617,338.663728636
1344.58232881,4015.83521781
876.168728003,968.189122803
3949.82841384,5532.41528027
1857.94252615,1328.17120275
888.639718829,4913.35122961
1481.43084603,897.213776087
2298.11261206,12782.2996962
2193.73950998,15884.6134701
786.593346386,3217.32940007
2003.81513074,4350.15152402
637.726898906,1687.4634671
3079.17730674,2927.87105563
500.537324732,383.599850828
616.55068905,379.749169978
1035.09066139,1917.94562562
2396.14078511,2174.75877982
577.123513651,1102.42140417
1415.71363081,2925.49410622
1392.02208715,3355.85891523
972.933103525,490.102011085
489.59582335,175.644666554
382.17641299,473.088895362
1749.99175816,617.028443908
916.588301973,1136.24840985
2114.07410152,4289.42952164
891.481124196,803.781894131
2342.27101469,1881.63948857
330.137152444,316.936671506
1479.91948991,2151.72678867
1173.44602032,6754.77336762
602.963843177,350.849437575
3519.11086095,3895.98161441
1016.39541288,9293.22106863
693.217716208,257.78020405
2034.8306002,1433.91482635
2694.36835452,4998.19879432
