area,rotError.numSamples.std
441.6625,4574.73377354
707.949375,3504.51641908
3629.2829625,4516.12281977
3749.9122125,1068.57195671
515.11,257.853455343
92.620625,141.850142792
419.118560455,182.929460449
268.7265625,3510.04999446
2711.72494554,3935.77212331
1020.60351562,4927.43898941
1120.46556127,363.803157271
441.159665625,147.306005198
768.704681585,2626.374729
375.53625,108.084781537
214.91426475,1084.0791156
626.622469523,183.153742003
121.8046875,273.731419461
1233.26750596,642.991734482
2003.5,702.453163625
1244.54759766,1510.28589149
279.4009375,14727.7449601
256.2996875,2308.33572565
434.9653125,15286.2712796
397.378125,8108.00744572
300.230625,2866.01159506
325.31,24073.9681947
231.629375,2219.38941949
235.2825,8919.29941979
547.4859375,1725.55951023
1196.88557207,3228.66340734
322.763125,308.046732032
1235.16935698,701.623265043
1486.08538919,12253.024445
5351.94959335,5103.87888822
1312.1154,12190.977691
1269.8764875,10206.0904135
290.0184375,1947.88730019
704.7703125,4006.02426321
323.6559375,189.939449112
786.936585364,2139.14201672
1276.3958515,4015.83521781
1203.42228531,968.189122803
774.963125,5532.41528027
786.40125,1328.17120275
1054.32679687,4913.35122961
1224.61670978,897.213776087
2419.47625,12782.2996962
1934.39945026,15884.6134701
852.118300775,3217.32940007
2354.8528125,4350.15152402
1177.07375,1687.4634671
3249.62426032,2072.14962693
654.106850714,383.599850828
657.353612623,2014.30380687
1073.86429004,1917.94562562
2396.76446011,2174.75877982
1041.21327443,1102.42140417
1933.90139917,2925.49410622
1647.76381253,3355.85891523
1218.21311288,490.102011085
566.726642893,432.474999277
566.381786317,473.088895362
2313.45559827,606.727838005
1184.450625,1136.24840985
459.930625,4289.42952164
1119.8547,803.781894131
734.15,1881.63948857
534.7525,316.936671506
1631.6725,2151.72678867
365.2209375,5518.65907301
460.9959375,350.849437575
1710.57095749,9293.22106863
739.903125,257.78020405
2306.9446875,1433.91482635

5-Fold RMSE:,4521.60570651,4353.77095341,3612.58306438,6502.7925644,6502.7925644
Average 5-Fold RMSE:,4362.92512535

5-Fold rsquared:,-0.129011074024,-0.0184280756813,-0.00478389171898,-0.0762048954857,-0.0762048954857
Average 5-Fold rsquared:,-0.0489747201345
