[Exploration]
time_file_written    			= Mon Jun  5 02:21:30 2017
start_time           			= 6.600000000
end_time             			= 4359.300000000
exploration_time    			        = 4352.7
required_goals       			= 288
unreachable_goals                            = 29
travel_path_overall  			= 1283.45
number_of_completed_auctions                 = 0
number_of_uncompleted_auctions               = 0
frontier_selection_strategy                  = 0
costmap_size                                 = 10
global costmap iterations                    = 1
explorer_local_costmap_height 		= 10
explorer_local_costmap_width 		= 10
move_base_local_costmap_height 		= 10
move_base_local_costmap_width 		= 10
move_base_raytrace_range 		= 5
move_base_obstacle_range 		= 5
explorer_raytrace_range 		= 5
explorer_obstacle_range 		= 5
complete             			= 1
